timestamp,data_value
0,87
9,89
20,89
29,89
39,89
51,89
60,93
70,93
80,93
90,93
119,95
130,95
140,95
150,97
160,97
180,97
200,97
210,97
219,97
280,97
320,91
350,91
409,93
449,95
469,95
559,93
611,97
641,95
661,95
700,95
719,93
731,93
800,97
810,97
829,97
890,97
970,95
1000,95
1019,97
1069,97
1079,97
1089,97
1109,97
1139,97
1200,95
1250,93
1290,93
1320,93
1330,93
1370,93
1380,93
1399,93
1431,93
1449,93
1459,93
1471,93
1499,93
1570,91
1579,91
1589,91
1609,91
1640,91
1659,91
1669,93
1681,93
1729,95
1739,95
1799,97
1871,97
1900,95
1909,95
1940,95
1951,95
1969,95
1979,95
2040,101
2050,105
2069,105
2080,105
2139,111
2169,103
2209,97
2240,97
2279,97
2290,93
2309,93
2329,93
2379,93
2410,103
2419,103
2480,109
2489,107
2500,107
2520,107
2529,107
2560,99
2609,93
2630,91
2689,81
2701,81
2721,85
2769,89
2801,89
2861,95
2911,93
2929,93
2939,93
2960,89
2970,89
2979,89
3000,89
3040,89
3060,87
3079,87
3089,87
3139,91
3149,95
3160,95
3169,95
3190,97
3200,97
3221,97
3230,97
3241,97
3260,97
3280,97
3289,97
3301,97
3310,97
3319,97
3329,97
3340,95
3351,95
3360,95
3370,95
3380,93
3390,93
3400,93
3409,93
3420,93
3430,93
3440,93
3449,93
3459,93
3469,93
3480,95
3491,95
3499,95
3509,95
3520,95
3529,95
3540,95
3549,95
3560,95
3571,97
3579,97
3589,97
3600,97
3610,97
3620,99
3629,99
3640,99
3649,99
3659,99
3671,97
3680,97
3690,97
3699,97
3709,97
3720,95
3730,95
3742,95
3750,95
3760,95
3769,95
3779,95
3789,95
3800,95
3811,93
3821,93
3829,93
3841,93
3849,93
3861,93
3871,93
3881,93
3890,93
3901,93
3910,101
3921,101
3930,101
3940,101
3951,101
3960,99
3970,99
3980,99
3990,99
3999,99
4009,99
4021,99
4029,99
4040,99
4051,97
4059,97
4069,97
4080,97
4089,97
4100,97
4109,97
4120,97
4130,97
4140,97
4150,97
4160,97
4169,97
4179,97
4189,97
4200,95
4211,95
4219,95
4229,95
4240,95
4249,95
4260,95
4270,95
4280,95
4290,93
4299,93
4309,93
4320,93
4329,93
4341,95
4350,95
4360,95
4369,95
4379,95
4390,93
4400,93
4410,93
4419,93
4429,93
4440,93
4449,93
4460,93
4470,93
4481,89
4490,89
4501,89
4509,89
4520,89
4530,89
4541,89
4549,89
4559,89
4570,89
4581,85
4589,85
4600,85
4609,85
4620,89
4629,89
4639,89
4650,89
4660,89
4670,93
4680,93
4689,93
4700,93
4710,93
4720,107
4729,107
4740,107
4749,107
4760,107
4769,109
4781,109
4789,109
4800,109
4809,109
4819,109
4831,109
4840,109
4849,109
4861,99
4869,99
4881,99
4889,99
4899,99
4912,97
4921,97
4929,97
4941,97
4949,97
4961,105
4971,105
4980,105
4991,105
5000,105
5011,103
5020,103
5030,103
5060,95
5070,95
5080,95
5089,95
5099,95
