timestamp,data_value
0,99
10,99
21,99
30,99
40,99
50,99
60,99
70,99
81,99
90,99
100,99
111,97
120,97
130,97
140,97
150,97
160,95
171,95
180,95
190,95
201,93
210,93
220,93
231,93
240,93
250,95
261,95
270,95
280,95
291,95
300,95
310,95
320,95
330,95
341,99
352,99
360,99
370,99
380,99
390,97
400,97
410,97
420,97
431,101
440,101
450,101
460,101
470,101
480,99
490,99
500,99
510,99
521,95
530,95
540,95
550,95
560,93
570,93
580,93
590,93
600,93
611,91
621,91
631,91
640,91
651,93
661,93
671,93
680,93
690,93
701,91
711,91
720,91
731,91
741,93
750,93
761,93
771,93
781,93
791,93
801,93
810,93
820,93
831,97
840,97
851,97
860,97
870,97
881,97
891,97
900,97
910,97
921,97
930,97
940,97
950,97
960,97
970,97
981,97
990,97
1000,97
1011,97
1020,97
1031,97
1040,97
1050,97
1060,95
1070,95
1080,95
1090,95
1101,95
1110,95
1120,95
1130,95
1140,95
1150,95
1160,95
1170,95
1180,95
1191,97
1200,97
1210,97
1220,97
1231,97
1240,97
1250,97
1260,97
1271,97
1281,97
1290,97
1300,97
1310,97
1320,97
1330,95
1340,95
1350,95
1360,95
1371,97
1380,97
1390,97
1400,97
1410,97
1420,95
1431,95
1440,95
1451,95
1461,95
1470,95
1480,95
1490,95
1500,95
1510,95
1520,95
1530,95
1540,95
1551,95
1560,95
1570,95
1580,95
1591,95
1600,93
1610,93
1620,93
1631,93
1640,91
1651,91
1660,91
1670,91
1682,93
1690,93
1700,93
1710,93
1720,93
1730,95
1741,95
1750,95
1760,95
1771,95
1780,95
1790,95
1800,95
1810,95
1820,95
1831,95
1840,95
1850,95
1861,95
1870,95
1880,95
1890,95
1900,95
1910,97
1920,97
1930,97
1940,97
1951,95
1960,95
1970,95
1980,95
1991,95
2000,95
2010,95
2020,95
2031,95
2041,95
2050,95
2060,95
2070,95
2080,95
2090,97
2100,97
2110,97
2120,97
2131,95
2142,95
2150,95
2160,95
2171,95
2180,95
2190,95
2200,95
2210,95
2222,95
2232,95
2240,95
2250,95
2262,95
2270,95
2280,95
2290,95
2300,95
2311,97
2320,97
2330,97
2340,97
2350,97
2360,97
2370,97
2380,97
2390,97
2402,97
2410,97
2420,97
2431,97
2441,97
2450,97
2460,97
2470,97
2480,97
2491,97
2500,97
2510,97
2520,97
2530,97
2540,95
2551,95
2561,95
2570,95
2581,95
2591,95
2601,95
2611,95
2621,95
2630,95
2640,95
2651,95
2661,95
2670,95
2681,95
2691,95
2701,95
2712,93
2721,93
2731,93
2741,93
2750,93
2761,95
2771,95
2780,95
2791,95
2801,95
2810,95
2821,95
2831,95
2841,95
2851,97
2860,97
2870,97
2880,97
2891,95
2901,95
2910,95
2921,95
2930,95
2941,97
2951,97
2961,97
2970,97
2982,95
2990,95
3001,95
3010,95
3020,95
3031,91
3041,91
3050,91
3060,91
3071,93
3080,93
3090,93
3100,93
3110,93
3120,91
3130,91
3140,91
3150,91
3161,95
3170,95
3180,95
3191,95
3200,95
3210,97
3220,97
3231,97
3240,97
3251,97
3260,97
3271,97
3280,97
3290,97
3300,97
3311,97
3320,97
3330,97
3341,97
3350,97
3360,97
3370,97
3380,97
3390,97
3400,97
3410,97
3420,97
3431,95
3440,95
3450,95
3461,95
3470,95
3480,97
3490,97
3500,97
3510,97
3520,95
3530,95
3540,95
3550,95
3561,95
3570,95
3580,95
3590,95
3600,95
3611,95
3620,95
3631,95
3640,95
3650,95
3660,95
3670,95
3680,95
3690,95
3701,95
3710,95
3720,95
3730,95
3740,95
3750,95
3760,95
3770,95
3780,95
3791,95
3800,95
3810,95
3820,95
3831,95
3840,95
3850,95
3860,95
3870,95
3880,95
3891,95
3900,95
3910,95
3921,93
3930,93
3940,93
3950,93
3960,93
3970,93
3980,93
3990,93
4000,93
4011,91
4020,91
4030,91
4040,91
4050,91
4060,93
4070,93
4080,93
4090,93
4101,93
4110,93
4120,93
4130,93
4140,93
4150,95
4160,95
4170,95
4180,95
4191,95
4200,95
4210,95
4220,95
4230,95
4240,99
4250,99
4260,99
4270,99
4281,97
4290,97
4300,97
4310,97
4320,97
4330,97
4340,97
4350,97
4360,97
4371,97
4380,97
4390,97
4400,97
4410,97
4420,97
4430,97
4440,97
4450,97
4461,95
4470,95
4480,95
4490,95
4500,93
4510,93
4520,93
4530,93
4540,93
4550,93
4561,93
4570,93
4580,93
4591,95
4600,95
4610,95
4620,95
4630,95
4640,95
4651,95
4660,95
4671,95
4681,95
4690,95
4700,95
4711,95
4720,95
4731,95
4741,95
4751,95
4760,95
4771,95
4781,95
4790,95
4800,95
4811,95
4821,97
4831,97
4841,97
4851,97
4861,97
4871,97
4881,97
4891,97
4900,97
4911,97
4920,97
4930,97
4940,97
4951,97
4961,97
4970,97
4980,97
4990,97
5000,95
5011,95
5020,95
5030,95
5041,95
5050,95
5060,95
5070,95
5080,95
5090,93
5101,93
5110,93
5120,93
5132,95
5140,95
5150,95
5160,95
5170,95
5180,95
5191,95
5200,95
5210,95
5222,97
5230,97
5240,97
5250,97
5260,97
5270,95
5281,95
5290,95
5300,95
5311,97
5320,97
5330,97
5340,97
5350,97
5360,95
5371,95
5380,95
5390,95
5401,95
5410,95
5420,95
5430,95
5440,95
5450,95
5461,95
5471,95
5480,95
5491,97
5500,97
5510,97
5520,97
5530,97
5540,95
5551,95
5560,95
5570,95
5581,95
5590,95
5600,95
5610,95
5620,95
5630,95
5641,95
5650,95
5660,95
5672,95
5680,95
5690,95
5700,95
5710,95
5720,95
5731,95
5740,95
5750,95
5761,95
5770,95
5780,95
5790,95
5800,95
5811,101
5820,101
5830,101
5840,101
5850,101
5860,97
5870,97
5880,97
5890,97
5901,95
5910,95
5920,95
5930,95
5941,93
5950,93
5960,93
5970,93
5980,93
5990,93
6001,93
6010,93
6020,93
6031,93
6040,93
6050,93
6060,93
6070,93
6080,93
6091,93
6100,93
6110,93
6122,95
6130,95
6140,95
6150,95
6160,95
6170,95
6182,95
6190,95
6200,95
6212,95
6220,95
6230,95
6240,95
6250,95
6260,95
6272,95
6280,95
6290,95
6302,93
6310,93
6320,93
6330,93
6340,93
6350,95
6360,95
6370,95
6380,95
6392,93
6400,93
6410,93
6420,93
6432,93
6440,93
6450,93
6460,93
6470,93
6480,93
6492,93
6500,93
6510,93
6522,95
6530,95
6540,95
6550,95
6560,95
6570,95
6581,95
6590,95
6601,95
6612,95
6621,95
6631,95
6641,95
6651,95
6661,97
6671,97
6681,97
6691,97
6701,97
6711,97
6721,97
6731,97
6740,97
6751,99
6761,99
6771,99
6781,99
6791,97
6801,97
6811,97
6820,97
6830,97
6840,97
6851,97
6861,97
6871,97
6880,97
6891,97
6900,97
6911,97
6920,97
6931,97
6940,97
6950,97
6961,97
6971,97
6980,95
6991,95
7001,95
7010,95
7020,95
7030,95
7040,95
7051,95
7060,95
7070,95
7080,95
7090,95
7100,95
7111,95
7120,95
7130,95
7140,95
7150,95
7160,95
7170,95
7180,95
7191,95
7201,93
7210,93
7220,93
7230,93
7240,93
7250,95
7260,95
7270,95
7280,95
7291,93
7301,93
7310,93
7320,93
7331,95
7340,95
7350,95
7360,95
7370,95
7380,93
7391,93
7400,93
7410,93
7421,95
7430,95
7440,95
7450,95
7460,95
7470,95
7480,95
7490,95
7500,95
7511,95
7520,95
7530,95
7540,95
7550,95
7560,93
7571,93
7580,93
7590,93
7601,95
7610,95
7620,95
7630,95
7640,95
7650,97
7661,97
7670,97
7680,97
7691,97
7700,97
7710,97
7720,97
7730,97
7740,95
7751,95
7760,95
7770,95
7781,107
7790,107
7800,107
7810,107
7820,107
7831,111
7840,111
7850,111
7860,111
7871,101
7880,101
7890,101
7900,101
7910,101
7920,97
7931,97
7940,97
7950,97
7961,93
7970,93
7980,93
7990,93
8000,93
8010,91
8020,91
8031,91
8040,91
8051,85
8060,85
8070,85
8080,85
8090,85
8100,89
8110,89
8120,89
8130,89
8141,93
8150,93
8160,93
8170,93
8180,93
8190,101
8201,101
8210,101
8220,101
8231,99
8240,99
8250,99
8260,99
8270,99
8280,97
8291,97
8300,97
8310,97
8321,95
8330,95
8340,95
8350,95
8360,95
8370,93
8380,93
8390,93
8400,93
8411,95
8420,95
8431,95
8440,95
8450,95
8460,93
8470,93
8480,93
8490,93
8501,95
8510,95
8520,95
8530,95
8540,95
8550,97
8560,97
8570,97
8580,97
8591,97
8600,97
8610,97
8620,97
8631,97
8640,97
8650,97
8660,97
8670,97
8680,97
8690,97
8700,97
8710,97
8720,97
8730,95
8740,95
8751,95
8760,95
8771,95
8781,95
8791,95
8800,95
8811,93
8821,93
8830,93
8841,93
8850,93
8860,93
8871,93
8881,93
8891,93
8901,95
8911,95
8921,95
8931,95
8941,95
8950,95
8961,95
8971,95
8980,95
8991,95
9001,95
9010,95
9020,95
9031,95
9040,95
9051,95
9060,95
9070,95
9081,97
9091,97
9100,97
9110,97
9120,97
9130,95
9141,95
9150,95
9160,95
9171,95
9180,95
9190,95
9200,95
9210,95
9220,95
9231,95
9240,95
9250,95
9261,95
9270,95
9280,95
9290,95
9300,95
9310,95
9320,95
9330,95
9340,95
9351,95
9360,95
9370,95
9380,95
9390,95
9400,95
9410,95
9420,95
9431,95
9441,97
9450,97
9460,97
9470,97
9480,97
9491,95
9500,95
9510,95
9520,95
9531,97
9540,97
9550,97
9560,97
9570,97
9580,95
9590,95
9600,95
9610,95
9621,97
9631,97
9640,97
9650,97
9660,97
9670,95
9680,95
9690,95
9700,95
9711,95
9720,95
9730,95
9740,95
9751,93
9760,93
9770,93
9780,93
9790,93
9800,93
9811,93
9820,93
9831,93
9841,89
9850,89
9860,89
9870,89
9880,89
9890,89
9901,89
9910,89
9920,89
9931,91
9940,91
9950,91
9960,91
9970,91
9980,93
9990,93
10000,93
10010,93
10021,95
10031,95
10040,95
10050,95
10060,95
10070,97
10080,97
10090,97
10100,97
10111,99
10120,99
10130,99
10140,99
10150,99
10160,99
10171,99
10180,99
10190,99
10201,97
10210,97
10220,97
10231,97
10240,97
10250,97
10260,97
10270,97
10280,97
10292,95
10300,95
10310,95
10320,95
10330,95
10340,97
10352,97
10360,97
10370,97
10382,95
10390,95
10400,95
10410,95
10420,95
10431,95
10440,95
10450,95
10460,95
10472,95
10480,95
10490,95
10500,95
10510,95
10520,95
10531,95
10540,95
10550,95
10562,95
10570,95
10580,95
10590,95
10600,95
10610,95
10622,95
10631,95
10640,95
10651,95
10660,95
10670,95
10680,95
10690,95
10700,97
10711,97
10721,97
10731,97
10742,95
10751,95
10761,95
10771,95
10781,95
10790,95
10801,95
10811,95
10821,95
10831,93
10841,93
10850,93
10861,93
10870,93
10881,95
10891,95
10900,95
10911,95
10921,93
10931,93
10941,93
10951,93
10960,91
10971,91
10981,91
10990,91
11001,91
11011,91
11020,91
11031,91
11040,91
11051,93
11061,93
11070,93
11081,93
11090,93
11100,93
11111,93
11120,93
11130,93
11141,93
11150,93
11161,93
11170,93
11180,93
11190,95
11201,95
11210,95
11220,95
11231,95
11240,95
11250,95
11260,95
11270,95
11280,95
11290,95
11301,95
11310,95
11321,95
11330,95
11340,95
11350,95
11360,95
11370,97
11380,97
11390,97
11401,97
11411,97
11420,97
11431,97
11440,97
11451,97
11460,97
11470,97
11480,97
11490,97
11501,95
11511,95
11520,95
11530,95
11541,95
11550,95
11560,95
11570,95
11580,95
11591,97
11600,97
11610,97
11620,97
11631,95
11640,95
11650,95
11660,95
11670,95
11681,97
11690,97
11700,97
11710,97
11720,97
11730,101
11740,101
11750,101
11760,101
11771,99
11780,99
11790,99
11800,99
11810,99
11820,95
11831,95
11840,95
11850,95
11860,95
11870,95
11880,95
11890,95
11900,95
11910,95
11920,95
11930,95
11940,95
11951,95
11960,95
11970,95
11980,95
11990,95
12000,95
12010,95
12020,95
12030,95
12041,95
12050,95
12060,95
12070,95
12080,95
12090,93
12100,93
12110,93
12120,93
12131,95
12141,95
12150,95
12160,95
12171,93
12180,93
12190,93
12200,93
12210,93
12220,89
12231,89
12240,89
12250,89
12261,91
12270,91
12280,91
12290,91
12300,91
12310,93
12320,93
12330,93
12340,93
12351,95
12360,95
12370,95
12380,95
12390,95
12400,95
12411,95
12420,95
12430,95
12441,99
12450,99
12460,99
12470,99
12480,99
12490,99
12501,99
12510,99
12520,99
12532,97
12540,97
12550,97
12560,97
12570,97
12580,95
12591,95
12600,95
12610,95
12621,95
12630,95
12640,95
12650,95
12660,95
12670,95
12681,95
12690,95
12700,95
12711,97
12720,97
12730,97
12740,97
12750,97
12760,95
12771,95
12780,95
12790,95
12801,95
12810,95
12820,95
12831,95
12840,95
12850,95
12861,95
12871,95
12880,95
12891,93
12901,93
12911,93
12921,93
12931,93
12940,95
12951,95
12960,95
12970,95
12981,95
12991,95
13001,95
13011,95
13020,95
13030,95
13040,95
13051,95
13060,95
13071,93
13081,93
13090,93
13101,93
13112,93
13120,93
13130,93
13140,93
13150,93
13160,93
13171,93
13180,93
13190,93
13202,93
13210,93
13220,93
13230,93
13240,93
13250,91
13261,91
13270,91
13280,91
13291,93
13300,93
13310,93
13320,93
13331,93
13340,95
13350,95
13360,95
13370,95
13381,95
13390,95
13400,95
13411,95
13420,95
13431,97
