timestamp,data_value
0,95
10,95
20,97
30,97
38,97
50,97
60,97
70,99
79,99
89,99
99,99
108,99
118,99
129,99
139,99
150,99
158,99
169,99
178,99
189,99
199,97
208,97
219,97
228,97
238,95
249,95
259,95
269,95
280,97
289,97
299,97
309,97
319,97
329,97
338,97
349,97
359,97
368,99
379,99
389,99
399,99
409,97
419,97
429,97
438,97
449,97
459,99
469,99
479,99
489,99
499,95
508,95
519,95
528,95
539,97
549,97
559,97
568,97
579,97
589,95
599,95
609,95
619,95
630,101
638,101
648,101
659,101
669,101
678,97
688,97
699,97
709,97
719,101
729,101
739,101
749,101
760,99
769,99
779,99
789,99
799,99
809,97
819,97
829,97
838,97
849,95
859,95
870,95
879,95
889,95
899,95
909,95
919,95
929,95
939,93
949,93
959,93
968,93
979,97
989,97
998,97
1009,97
1019,93
1029,93
1038,93
1049,93
1059,97
1069,97
1079,97
1088,97
1099,97
1109,95
1118,95
1128,95
1139,95
1150,101
1159,101
1168,101
1180,101
1190,101
1198,103
1208,103
1220,103
1230,103
1238,103
1250,103
1260,103
1270,103
1280,101
1289,101
1300,101
1309,101
1319,101
1328,101
1338,101
1349,101
1359,101
1369,93
1379,93
1389,93
1399,93
1410,93
1419,93
1429,93
1438,93
1449,93
1459,93
1469,93
1479,93
1490,93
1499,95
1508,95
1518,95
1528,95
1539,95
1549,95
1559,95
1568,95
1579,95
1588,97
1598,97
1609,97
1619,97
1628,95
1638,95
1648,95
1659,95
1669,97
1678,97
1688,97
1699,97
1709,97
1719,97
1728,97
1739,97
1749,97
1759,99
1768,99
1779,99
1788,99
1799,103
1809,103
1819,103
1829,103
1838,103
1848,99
1859,99
1868,99
1878,99
1888,95
1899,95
1909,95
1918,95
1929,95
1938,95
1949,95
1959,95
1968,95
1979,95
1989,95
1998,95
2009,95
2019,95
2029,95
2039,95
2049,95
2059,93
2068,93
2078,93
2088,93
2099,93
2109,95
2118,95
2128,95
2139,95
2150,95
2158,95
2168,95
2179,95
2189,95
2198,99
2208,99
2218,99
2229,99
2238,99
2248,99
2259,99
2269,99
2280,101
2288,101
2299,101
2308,101
2318,101
2329,95
2339,95
2350,95
2360,95
2368,99
2380,99
2388,99
2398,99
2410,97
2420,97
2428,97
2438,97
2448,97
2460,95
2470,95
2478,95
2488,95
2499,93
2509,93
2519,93
2529,93
2540,97
2549,97
2559,97
2569,97
2579,97
2588,103
2599,103
2608,103
2618,103
2630,101
2638,101
2649,101
2659,101
2668,101
2679,99
2688,99
2699,99
2708,99
2719,95
2730,95
2739,95
2749,95
2760,95
2769,95
2778,95
2788,95
2798,95
2808,95
2819,95
2828,95
2838,95
2849,101
2859,101
2869,101
2878,101
2889,101
2899,101
2908,101
2919,101
2928,101
2938,99
2949,99
2959,99
2968,99
2980,99
2988,99
2998,99
3008,99
3019,99
